,APRIL,,,,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,PRIMARY RELEVANCE,TIME,MODE,LOCATION,OPEN TO,REGISTRATION LINK,,,,,,,,,,,,,,,,
,2026-11-10 00:00:00,Destination Bengaluru: Study Tour,Counsellors,10:00 - 17:00,In Person,Bengaluru,Members,https://www.theoutreachcollective.in/event-details/destination-bengaluru-university-tour-2,,,,,,,,,,,,,,,,
,16.0,Navigating Visa Compliance- The Big 4,Counsellors,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/navigating-visa-compliance-the-big-4,,,,,,,,,,,,,,,,
,21.0,Navigating Visa Compliance - Rest of the World,Counsellors,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/navigating-visa-compliance-rest-of-the-world,,,,,,,,,,,,,,,,
,25-26,"The AI Toolkit: A Certificate Workshop for Real Tools. Real Skills. Real Impact.
",All,10:00 - 15:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/the-ai-toolkit-a-certificate-workshop-for-real-tools-real-skills-real-impact-1,,,,,,,,,,,,,,,,
,MAY,,,,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,PRIMARY RELEVANCE,TIME,MODE,LOCATION,OPEN TO,REGISTRATION LINK,,,,,,,,,,,,,,,,
,2.0,Members Meet: Your Guide to the Year Ahead,All,11:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/members-meet-your-guide-to-the-year-ahead,,,,,,,,,,,,,,,,
,8.0,Funding Dreams: Navigating Loans & Forex for Undergraduate Education,Counsellors,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/funding-dreams-navigating-loans-scholarships-financial-aid-for-undergraduate-education,,,,,,,,,,,,,,,,
,13.0,"How To Help A Student Craft An Outstanding
College Application: A Crash Course

The College Essay Guys",Counsellors,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/how-to-help-a-student-craft-an-outstanding-college-application-a-crash-course-l-members-only,,,,,,,,,,,,,,,,
,20.0,Telling your Brand Story Better - Substance Deserves Style,"Founders, Business Heads, Outreach & Marketing Professionals, School & University Management",18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/keep-it-real-marketing-your-business-with-authenticity-impact,,,,,,,,,,,,,,,,
,22.0,"UniAccess Live: Meet Xavier University, Cincinnati, USA",Counsellors,17:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/uniaccess-live-meet-universities-intl-edition,,,,,,,,,,,,,,,,
,23.0,UniAccess Live: Meet ATLAS Skilltech University,Counsellors,16:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/uniaccess-live-meet-universities-india-edition,,,,,,,,,,,,,,,,
,28.0,In-Focus,"Service Providers, Counsellors, School & University Leadership",18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/in-focus,,,,,,,,,,,,,,,,
,29.0,Decoding the Ever-Expanding Cast: Understanding the Characters Reshaping Education,All,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/decoding-the-ever-expanding-cast-understanding-the-characters-reshaping-education,,,,,,,,,,,,,,,,
,JUNE,,,,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,PRIMARY RELEVANCE,TIME,MODE,LOCATION,OPEN TO,REGISTRATION LINK,,,,,,,,,,,,,,,,
,3.0,"Dual Enrollment as a Pathway: Academic, Strategic, and Global Perspectives for Counsellors",Counsellors,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/dual-enrollment-as-a-pathway-academic-strategic-and-global-perspectives-for-counsellors,,,,,,,,,,,,,,,,
,11.0,Discover Mumbai's International Branch Campuses: University of York & University of Bristol,Counsellors,10:00 - 16:00,In-Person,"University of York, Mumbai

University of Bristol, Mumbai",Members,https://www.theoutreachcollective.in/event-details/discover-mumbais-international-branch-campuses-university-of-york-university-of-bristol-1,,,,,,,,,,,,,,,,
,12-14,The Residency: The Annual Summer School for lifelong learners,All,"Check In to Campus starts June 11th 5 PM until June 12th, 11 AM
Check Out: June 14th - Morning
",In-Person,Universal AI University,Members & Non-Members,https://www.theoutreachcollective.in/theresidency,,,,,,,,,,,,,,,,
,16.0,"SAT vs ACT: Enabling Informed Student Choices
",Counsellors,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/sat-vs-act-enabling-informed-student-choices,,,,,,,,,,,,,,,,
,19.0,Entrance Exams & Pathways in India — Part 1: Engineering & Medicine,Counsellors,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/entrance-exams-pathways-in-india-part-1-engineering-medicine,,,,,,,,,,,,,,,,
,25.0,In-Focus,"Service Providers, Counsellors, School & University Leadership",18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/in-focus-2,,,,,,,,,,,,,,,,
,30.0,Exploring Identity and Success in Counseling,Counsellors,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/exploring-identity-and-success-in-counseling,,,,,,,,,,,,,,,,
,JULY,,,,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,PRIMARY RELEVANCE,TIME,MODE,LOCATION,OPEN TO,REGISTRATION LINK,,,,,,,,,,,,,,,,
,3.0,"Inside the University of California System: Admissions, PIQs & What Counselors Need to Know",Counsellors,19:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/inside-the-uc-system-admissions-piqs-what-counselors-need-to-know,,,,,,,,,,,,,,,,
,8.0,Beyond Black Robes: Rethinking Careers in Law,Counsellors,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/careers-in-law,,,,,,,,,,,,,,,,
,15.0,"Creative Futures 
Explore Possibilities. Evaluate Fit. Enable Futures.","Counsellors, Universities",17:00 - 19:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/creative-careers-conclave,,,,,,,,,,,,,,,,
,22.0,UniAccess Live: CEPT University,Counsellors,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/uniaccess-live-meet-cept-university,,,,,,,,,,,,,,,,
,28.0,Metrics & Mingling: Designing Your Outreach & ROI Strategy at Conferences,,18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/metrics-mingling-designing-your-outreach-roi-strategy-at-conferences,,,,,,,,,,,,,,,,
,30.0,In-Focus,"Service Providers, Counsellors, School & University Leadership",18:00:00,Virtual,Zoom,Members,https://www.theoutreachcollective.in/event-details/in-focus-3,,,,,,,,,,,,,,,,
,AUGUST,,,,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,PRIMARY RELEVANCE,TIME,MODE,LOCATION,OPEN TO,REGISTRATION LINK,,,,,,,,,,,,,,,,
,3.0,"Beyond the Offer Letter: Navigating UK University Choice, Compliance & Student Success in 2026",Counsellors,18:00:00,Virtual,Zoom,Members,,,,,,,,,,,,,,,,,
,9.0,The Why Behind the What: Psychometrics in Guidance Counselling Practice,Counsellors,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,10.0,"What Changed, What Matters – Inside the New UCAS Application
",,18:00:00,Virtual,Zoom,Members,,,,,,,,,,,,,,,,,
,12.0,UniAccess Live: Meet Ashoka University,,,,,,,,,,,,,,,,,,,,,,
,18.0,TOC × Austrade: Senior Leadership Roundtable with Australian Universities,By Invite only,14:30 -17:30,In Person,,NA,NA,,,,,,,,,,,,,,,,
,19.0,The Soiree,All,19:00 -22:00,In Person,"Lyla, BKC, Mumbai",Members & Non-Members,"https://www.theoutreachcollective.in/event-details/the-soiree-2


Non-Member(TOC Member Reference ): https://www.theoutreachcollective.in/event-details/the-soiree-non-member",,,,,,,,,,,,,,,,
,24.0,UniAccess Live: Meet Leeds Art University,,,,,,,,,,,,,,,,,,,,,,
,27.0,In-Focus,"Service Providers, Counsellors, School & University Leadership",18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,SEPTEMBER,,,,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,PRIMARY RELEVANCE,TIME,MODE,LOCATION,OPEN TO,REGISTRATION LINK,,,,,,,,,,,,,,,,
,2.0,India Test Series- Part 2,Counsellors,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,9.0,Global Test Prep Pathways,Counsellors,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,16.0,Pathways in Psychology ,Counsellors,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,21.0,UniAccess : Japan,,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,24.0,In-Focus,"Service Providers, Counsellors, School & University Leadership",18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,28.0,Scholarships 101: Show Me the Money,,18:00:00,,,,,,,,,,,,,,,,,,,,
,30.0,Advocacy strategies for Neurodivergent / learning disabilities for university admissions,Counsellors,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,OCTOBER,,,,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,PRIMARY RELEVANCE,TIME,MODE,LOCATION,OPEN TO,REGISTRATION LINK,,,,,,,,,,,,,,,,
,6.0,Talent Management in Education (non-academic roles) in the age of AI,All,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,2026-10-07 00:00:00,Destination Gujarat: University Visits,Counsellors,-,In-Person,"Ahmedabad, Gandhinagar",Members & Non-Members,TBA,,,,,,,,,,,,,,,,
,14.0,Impact of AI on University Admissions ,All,18:00:00,Virtual,Zoom,Members,TBA,,,,,,,,,,,,,,,,
,23-25,The Conclave: A selection-based fellowship for the next generation of Business Leaders in Education,Founders,-,In person,"House of Lalpur, Rupnagar, Punjab",Members,TBA,,,,,,,,,,,,,,,,
