INDIAN UNIVERSITY PROGRAMS  (46 programs),,,,,,,,,,,,,,,,,,,,,,,,,
#,Provider,Program Name,Domain,Program Type,Mode,Location,Grades,Duration & Dates,Cost (INR unless noted),Contact Details,Website,Key Details & Notes,,,,,,,,,,,,,
1.0,Ahmedabad University,Ahmedabad Grand Challenges Program,Interdisciplinary,Summer School,In-Person,Ahmedabad,10–12,8 days (May 30 – Jun 6),"₹50,000 (all inclusive)",grandchallenges@ahduni.edu.in | 79619 11198,ahduni.edu.in,"Residential · 3 tracks: Science/Tech, Humanities, Management · Need-based scholarships available",,,,,,,,,,,,,
2.0,Alliance University,Young Leaders Alliance (YLA),Leadership,Residential Program,In-Person,Bengaluru,9–12,10 days,"₹20,000 (all inclusive) + ₹500 application",Mr. Prince 84316 04909 | Ms. Pooja 90030 15595,alliance.edu.in,Residential · Interdisciplinary + experiential real-world challenges,,,,,,,,,,,,,
3.0,Amity University,Amity Summer School,Interdisciplinary,Summer School,In-Person,Noida,10–12,20 days (Jun 1–20),Contact for fees,Amit Pamnani | 9717694609 | apamnani@amity.edu,amity.edu/summerschool,"Domains: Science, Management, Communication, Photography, Journalism · Experience university life",,,,,,,,,,,,,
4.0,Ashoka University,Young Scholars Program (YSP),Interdisciplinary,Summer School,In-Person,"Sonipat, Haryana",9–12,5–10 days,"₹49,500 (5-day) / ₹85,000 (10-day) · All inclusive",youngscholars@ashoka.edu.in,ashoka.edu.in,"Residential · Batch 1: May 18–29 | Batch 2: Jun 1–12 · Early deadline Mar 8 · 8 tracks incl. AI, Psychology, Economics, Design Thinking",,,,,,,,,,,,,
5.0,Ashoka University,Kolkata Learning Sprint,"Artificial Intelligence: Applications, Impact & Society",Non residential,In-Person,"Modern High School International, Kolkata",9–12,"3 days (June 4 – June 6, 2026)","Rs 30,000 + GST",ysplearningsprint2026@ashoka.edu.in or urbi.chatterjee@ashoka.edu.in,https://www.ashoka.edu.in/young-scholars-programme-learning-sprint-2026/,"Application Deadline – May 17, 2026",,,,,,,,,,,,,
6.0,Ashoka University,Chennai Learning Sprint,"Economics & Finance| Markets, Risks & Rewards",Non residential,In-Person,"Sishya School, Adyar, Chennai",9–12,"3 days (May 29 – May 31, 2026)","Rs 30,000 + GST",ysplearningsprint2026@ashoka.edu.in or elizabeth.baby@ashoka.edu.in,https://www.ashoka.edu.in/young-scholars-programme-learning-sprint-2026/,"Application Deadline: 10th May , 2026",,,,,,,,,,,,,
7.0,Ashoka University,Horizons Achievers Programme,Interdisciplinary,Immersion Program,Online,Online (weekends),9–12,~4 weekends,"₹22,000 + GST",horizons@ashoka.edu.in,ashoka.edu.in,"Ed 1: May 23–Jun 14 | Ed 2: Jun 20–Jul 12 · Humanities, Sciences, Commerce streams · 21st-century skills",,,,,,,,,,,,,
8.0,Atlas SkillTech University,ISDI ATLAS Summer School — DESIGN,Arts & Design,Summer School,In-Person,Mumbai,9–12,10 days (3 batches),"₹53,100 (inc GST)",farheen.memon@atlasuniversity.edu.in | +91 82377 70903,atlasuniversity.edu.in,40 seats · Batch 1: May 19–29 | Batch 2: Jun 2–12 | Batch 3: Jun 23–Jul 3,,,,,,,,,,,,,
9.0,Atlas SkillTech University,uGDX ATLAS Summer School — TECHNOLOGY,Technology & AI,Summer School,In-Person,Mumbai,9–12,10 days (2 batches),"₹41,300 (inc GST)",farheen.memon@atlasuniversity.edu.in | +91 82377 70904,atlasuniversity.edu.in,"40 seats · Coding, AI, ML, Robotics · Batch 1: May 19–29 | Batch 2: Jun 2–12",,,,,,,,,,,,,
10.0,Atlas SkillTech University,ISME ATLAS Summer School — BUSINESS,Business & Management,Summer School,In-Person,Mumbai,9–12,10 days (3 batches),"₹53,100 (inc GST)",farheen.memon@atlasuniversity.edu.in | +91 82377 70905,atlasuniversity.edu.in,"40 seats · Marketing, Finance, Analytics, Entrepreneurship, Leadership",,,,,,,,,,,,,
11.0,Atria University,AI Summer School,Technology & AI,Summer School,In-Person,Bengaluru,11–12+,TBA,"₹75,000 (meals incl) · 10% early bird / 30% merit scholarship",9900090992,atria.edu,Data Science & ML track + AI/GenAI track · Undergrad also eligible,,,,,,,,,,,,,
12.0,Azim Premji University,Summer Learning Adventure,Social Impact,Workshop,Online,Online,10–12,4 days (2 hrs/day),FREE,—,azimpremjiuniversity.edu.in,"Comics, Ghazals, Economics, Environmental History · Think like a social scientist",,,,,,,,,,,,,
13.0,BML Munjal University,BMU Summer School — The Summer Innovators,Interdisciplinary,Summer School,In-Person,"Gurugram, Haryana",9–12,7 days (May 29 – Jun 4),"₹9,500 (all inclusive)",Debashree Dutta 9836743668 | Ajay Mahajan 98886 15308 | ajay.mahajan@bmu.edu.in,bmu.edu.in,"Residential · Incl. accommodation, meals, kit, airport pickup/drop",,,,,,,,,,,,,
14.0,BBRFI,Internship in Counselling & Clinical Psychology,Psychology,Internship,Hybrid,New Delhi + Online,12 only,30 days / 240 hrs,"₹8,000 (program only; stay separate)",9560268575,bbrfi.org/internship,Hospital + OPD exposure in Gurgaon & Rajghat · Monthly batches · Mon–Sat 10AM–3PM,,,,,,,,,,,,,
15.0,Ecole Intuit Lab,Design Summer School (5th Edition),Arts & Design,Summer School,In-Person,Mumbai,8–12,10 days (2 batches),"₹20,000 (inc GST)",zaigam.ameen@ecole-intuit-lab.com | +91 98201 45390,ecole-intuit-lab.co.in,"Advertising, UI/UX with AI, Gaming, Illustration, Animation · Batch 1: May 4–15 | Batch 2: Jun 22–Jul 3",,,,,,,,,,,,,
16.0,FLAME University,FLAME University Summer Immersion (FUSIP),Interdisciplinary,Immersion Program,In-Person,Pune,9–12,10 days (2 batches),"₹50,000 (all inclusive, inc GST)",—,flame.edu.in,Residential · Batch I: May 18–27 (deadline May 10) | Batch II: Jun 29–Jul 8 (deadline Jun 21) · Min age 14,,,,,,,,,,,,,
17.0,Fortis Healthcare,Online Summer Internship (Psychology),Psychology,Internship,Online + In-Person,Delhi (online option),11–12,5 days,FREE,—,linktr.ee/fortismentalhealth,Pro-Social Peer Moderator Program (Gr 8–12) also available,,,,,,,,,,,,,
18.0,Future School of Performing Arts,Music Production & Creation,Performing Arts,Workshop,In-Person,Goa,9–12,8 days (2 batches),"₹47,200 (boarding + tuition, all incl) / ₹26,000 (day scholar)",8956352477,future-school.in,"Batch 1: May 24–31 | Batch 2: Jun 7–14 · Residential option with accommodation, meals, local transport",,,,,,,,,,,,,
19.0,G D Goenka University,Summer School for Young Scholars,Interdisciplinary,Summer School,In-Person,Gurugram,8–12,6 days,"₹25,000 (10% early bird for first 50)",Ms. Pushpa Joshi 99990 49020 | Dr. Swati Singh 81144 87264 | summerschool@gdgu.org,gdgoenkauniversity.com,"Science, Management, Law, Hospitality, Liberal Arts, Aerospace, Design · 60-acre campus",,,,,,,,,,,,,
20.0,IIT Madras,Summer Fellowship Programme 2026,STEM,Research Program,In-Person,Chennai,3rd yr UG+,2 months (May 18 – Jul 17),"Stipend: ₹15,000/month",—,ssp.iitm.ac.in,For engineering/science/management/humanities students · Hostel on payment basis · Deadline: Mar 2,,,,,,,,,,,,,
21.0,IIT Delhi,Manasvi STEM Mentorship Programme,STEM,Mentorship,In-Person,New Delhi,Girls only,TBA (May 2026),TBA,—,academicoutreach.iitd.ac.in,100 seats · Girls only · Multi-phase STEM mentorship with hands-on projects,,,,,,,,,,,,,
22.0,Indian School of Hospitality,Summer Experience,Hospitality & Luxury,Experiential Learning,In-Person,Gurugram,9–12,5 days (3 batches),"₹50,000 + 18% GST (luxury accommodation, meals, field trips incl)",Contact ISH,sommeteducation.my.site.com,"Culinary workshops, 5-star hotel visits, themed dinners · Pathways to Switzerland/Spain/France",,,,,,,,,,,,,
23.0,ISRO,YUVIKA (Young Scientist Programme),Aviation & Aerospace,Residential Program,In-Person,7 ISRO centres across India,Class 9,~11 days,FREE,yuvika@isro.gov.in,jigyasa.iirs.gov.in/yuvika,"Space science, satellite tech · Preference to rural areas · STEM career exposure · Highly prestigious",,,,,,,,,,,,,
24.0,Kedge Business School,KEDGE Summer Program,Business & Management,Summer School,In-Person,"Karjat, Maharashtra",9–12,5 days (2 batches),"₹30,000 + ₹1,500 application",Shalini Gumber | 6366568114 | shalini.gumber@kedgebs.in,kedgebs.in,"Hosted at Vijaybhoomi University · Strategy, leadership, innovation · Batch 1: May 21–25 | Batch 2: Jun 26–30",,,,,,,,,,,,,
25.0,KREA University,Krea Summer School (KSS),Interdisciplinary,Summer School,In-Person,"Sri City, AP (70km Chennai)",9–12,1 week (2 slots),"₹30,000 (food + accommodation incl)",school.programmes@krea.edu.in,krea.edu.in,Residential · Slot I: Apr 26–May 3 | Slot II: Jun 21–28 · 30+ hrs academics + experiential workshops,,,,,,,,,,,,,
26.0,Lodha Foundation + Ashoka,Lodha Genius @ Ashoka University,Interdisciplinary,Residential Program,In-Person,"Sonipat, Haryana",8–11,1 month (May 16 – Jun 15),FULLY FUNDED (scholarship covers all costs),lodhagenius@lodhafoundation.org | +91 7678013523,lodhageniusprogramme.com,Merit-based · For exceptional math & science scholars · Applications: Dec 1 – Jan 26,,,,,,,,,,,,,
27.0,Lodha Foundation + IISER,Lodha Genius @ IISER Pune,STEM,Residential Program,In-Person,Pune,8–10,3 weeks (Jun 7–27),FULLY FUNDED,lodhagenius@lodhafoundation.org | +91 8433529562,lodhageniusprogramme.com,"Merit-based · Science through experimentation, reasoning, discovery · Applications: Dec 1 – Jan 26",,,,,,,,,,,,,
28.0,Manipal (MAHE),Manipal Centre for Humanities Summer School,Humanities,Summer School,In-Person,"Udupi, Karnataka",11–12,10 days,"₹35,000 inc GST (accommodation incl)",admissions.mch@manipal.edu,manipal.edu/mcph,Applied learning · Taste of college life · Peers from top schools · Deadline: Mar 31,,,,,,,,,,,,,
29.0,Masters' Union,Summer Skills Week,Technology & AI,Bootcamp,In-Person,Gurugram,8–12,5 days (Jun 3–7),"₹44,999 (individual) / ₹34,999 (team of 4+)",diksha.dhawan@mastersunion.org | +91 9971740074,mastersunion.org,"App building, AI tools, Stock trading, MUN",,,,,,,,,,,,,
30.0,Masters' Union,Summer Startup Week,Entrepreneurship,Bootcamp,In-Person,Gurugram,8–12,5 days (Jun 24–28),Contact for fees,diksha.dhawan@mastersunion.org | +91 9971740074,mastersunion.org,"Ideate business, startup pitch",,,,,,,,,,,,,
31.0,Masters' Union,Test Drive — 8 Careers in 8 Weeks,Interdisciplinary,Experiential Learning,Virtual,Online (Saturdays 2–4 PM),9–12,8 weeks (Apr 4 – May 23),"₹9,999 (individual) · Group discounts down to ₹1,000",diksha.dhawan@mastersunion.org | +91 9971740074,mastersunion.org,"Consulting, IB, Stock Trading, AI, Product Design, Sales, Corporate Law · Live industry simulations",,,,,,,,,,,,,
32.0,O.P. Jindal Global University,Aspire India Scholars Programme (AISP),Interdisciplinary,Summer School,In-Person,"Sonipat, Haryana",9–12,7 days,"₹41,300 (all inclusive)",aisp@jgu.edu.in | Dr. Reshma Vats +91 9911411005,aisp.jgu.edu.in,"Law, business, liberal arts, international affairs · Transition from HS to higher ed",,,,,,,,,,,,,
33.0,O.P. Jindal + TU Dresden,Future Leaders Program,Interdisciplinary,Exchange,In-Person,"Sonipat + Dresden, Germany",9–12,India: 11 days / India+Germany: 18 days,"India: ₹89,999 + GST / India+Germany: ₹2,39,999 + GST",flp.queries@besingular.com,flp.besingular.com,"Global leadership · Cross-cultural exchange · Week at TU Dresden, Germany",,,,,,,,,,,,,
34.0,Pearl Academy,Summer @ Pearl Academy 2026,Arts & Design,Summer School,In-Person,Mumbai,Open,10 days (2 batches),"₹15,000 + GST",Nuksar Khan | 9702367869 | nuksar.khan@pearlacademy.com,pearlacademy.com,"Fashion, Interior, Communication, Product, Textile Design · Final Showcase · Batch 1: May 18–29 | Batch 2: Jun 8–19",,,,,,,,,,,,,
35.0,Plaksha University,Young Technology Scholars+ (YTS+),Technology & AI,Summer School,In-Person,"Mohali, Punjab",9–12,2 weeks (May 24 – Jun 7),"₹1,05,000 + GST",highschoolprograms@plaksha.edu.in | +91 73035 80960,plaksha.edu.in,Residential · 3 tracks for tinkerers/makers · R1 deadline: Feb 22 | R2: Mar 29,,,,,,,,,,,,,
36.0,Plaksha University,Young Data Scientist Program,Data Science,Summer School,In-Person,"Mohali, Punjab",9–12,1 week,"₹55,000 + GST",highschoolprograms@plaksha.edu.in | +91 73035 80960,plaksha.edu.in,"Residential · AI, ML, data science + economics · Hands-on real-world data projects",,,,,,,,,,,,,
37.0,Rishihood University,Indic Summer School (ISS),Humanities,Summer School,In-Person,"Sonipat, Haryana",9–12,7 days,"₹20,000",—,rishied.rishihood.edu.in,"Residential · Indian knowledge systems · Expert sessions, workshops, mentorship · Deadline: Apr 30",,,,,,,,,,,,,
38.0,Shiv Nadar University,Young Thinkers Forum,Interdisciplinary,Summer School,In-Person,Greater Noida,9–12,6 days (Jun 1–6),"₹35,000 + 18% GST",gurnam.jagota@snu.edu.in / asim.siddique@snu.edu.in,snu.edu.in/ytf,"Faculty talks, discussion groups, guest speakers, multimedia learning · Deadline: Apr 30",,,,,,,,,,,,,
39.0,Shiv Nadar University,The Robotics Summer Program 2026,STEM,Summer School,In-Person,Greater Noida,7–12,6 days (Jun 1–6),"₹35,000 + GST",youngthinkers@snu.edu.in,snu.edu.in,"With Milagrow Humantech · Design, build, program robots · Industry-grade kits · Deadline: Apr 30",,,,,,,,,,,,,
40.0,Shiv Nadar University,SNIP (Shiv Nadar Immersion Program),Interdisciplinary,Immersion Program,Hybrid,Greater Noida + Online,11–12,6 days (Jun 1–6),"₹18,000 + GST",youngthinkers@snu.edu.in | vinnie.mathur@snu.edu.in,snu.edu.in,Offline + online options · Deadline: Apr 30,,,,,,,,,,,,,
41.0,Shoolini University,Summer Patent School,Research,Workshop,In-Person,"Solan, Himachal Pradesh",9–12,5 days,TBA,ideasthatmatter@shooliniuniversity.com,ideasthatmatter.in,India's 1st Summer Patent School · File a patent with India Patent Office · With Ideas That Matter,,,,,,,,,,,,,
42.0,SP Jain,Global Summer Tech 2026,Technology & AI,Summer School,Hybrid,Mumbai (Wadala),9–12,"8 days (2 batches, 40 seats)","₹20,000 + GST",Pratik Acharya | 7738092485 | pratik.acharya@spjain.org,spjain.org,"AI, coding, cybersecurity · Batch I: May 23–30 | Batch II: Jun 20–27 · 9AM–4PM",,,,,,,,,,,,,
43.0,SP Jain,Contemporary Business Management,Business & Management,Summer School,In-Person,Mumbai (Wadala),9–12,"8 days (2 batches, 60 seats)","₹29,500 (inc GST)",Pratik Acharya | 7738092485 | pratik.acharya@spjain.org,spjain.org,Batch 1: May 23–30 | Batch 2: Jun 20–27,,,,,,,,,,,,,
44.0,Symbiosis (SID),Design Immersion Program,Arts & Design,Immersion Program,In-Person,Pune,9–12,5 days (Jun 1–5),"₹15,340 inc GST (local) / ₹20,060 inc GST (with stay)",admissions.sid.edu.in | 7219611696,symbiosis.ac.in,"Ideation, Storytelling, Visual Thinking, Design Sprint, Field Visit · 10AM–4PM · Certificate",,,,,,,,,,,,,
45.0,UCL India,UCL India Summer School,Interdisciplinary,Summer School,In-Person,"The British School, New Delhi",11 only,6 days (Jun 1–6),"₹40,000",vpee.indiasummerschool@ucl.ac.uk,ucl.ac.uk,UCL professors come to India · Taste of world-leading UK university · Deadline: Mar 6,,,,,,,,,,,,,
46.0,Universal AI University,UAi TechTrek Summer Camp,Technology & AI,Summer School,In-Person,"Karjat, Maharashtra",8–12,5 days (4 batches),"₹14,999 / ₹8,999 (group 3+) · Accommodation & food incl",8779546528 | trupti.more@universalai.in,universalai.in,"5 schools: Management, AI/Tech, Music/Sound, Design, Liberal Arts · Batch 1: May 12–16 | B2: Jun 2–6 | B3: Jun 16–20 | B4: Jul 7–11",,,,,,,,,,,,,
47.0,UPES,Summer Program (TBA for 2026),Interdisciplinary,Summer School,In-Person,Dehradun,9–12,TBA,TBA,—,upes.ac.in,Details to be announced for 2026,,,,,,,,,,,,,
48.0,Woxsen University,Woxsen Summer Program,Interdisciplinary,Summer School,In-Person,Hyderabad,9–12,12 days,"₹60,000",summer.program@woxsen.edu.in,woxsen.edu.in,"Budding Scholars (9–10) + Future Leaders (11–12) tracks · Design, social media, robotics",,,,,,,,,,,,,
