,APRIL,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,MODE,LOCATION,SPEAKER 1,SPEAKER 2,SPEAKER 3,SPEAKER 4,MODERATOR,,,,,,,,,,,,
,2026-11-10 00:00:00,Destination Bengaluru: Study Tour,In Person,Bengaluru,University Visit,,,,,,,,,,,,,,,,
,16.0,Navigating Visa Compliance- The Big 4,Virtual,Zoom,"Nikhil Jain 
Founder & CEO, ForeignAdmits","Anuradha Gupta
Regional Director - South Asia,University of Southern Queensland",-,,"Ritu Wason
Founder & CEO,eduCROSSROADS Consulting",,,,,,,,,,,,
,21.0,Navigating Visa Compliance - Rest of the World,Virtual,Zoom,"Kshitij Garg
Managing Director, Estero Education Services","Shagun
Manager, Campus France","Ruby Thomas
Associate, Uni Italia",-,"Rashi Ahuja Dixit
Senior Career & College Counsellor, City Montessori School",,,,,,,,,,,,
,25-26,"The AI Toolkit: A Certificate Workshop for Real Tools. Real Skills. Real Impact.
",Virtual,Zoom,"Prof. Aakash Kadam, Universal AI University
AI/ML/Data Science/Business Analytics
B.E.(IT), PICT Pune & Doctoral Research (Ongoing), IIT Patna",-,-,-,-,,,,,,,,,,,,
,MAY,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,MODE,LOCATION,SPEAKER 1,SPEAKER 2,SPEAKER 3,SPEAKER 4,MODERATOR,,,,,,,,,,,,
,2.0,Members Meet: Your Guide to the Year Ahead,Virtual,Zoom,"Bhakti Shah
Founder, The Outreach Collective","Amrita Ghulati
Director-School Engagement & Partnership,Acumen(Part of Sannam S4 Group) ",-,-,-,,,,,,,,,,,,
,8.0,Funding Dreams: Navigating Loans & Forex for Undergraduate Education,Virtual,Zoom,"Dev Mehta
Director, FRR Forex","Shweta Jain 
National Head- Channel Management and Distribution , Credila",-,,"Nikhil Jain 
Founder & CEO, ForeignAdmits",,,,,,,,,,,,
,13.0,"How To Help A Student Craft An Outstanding
College Application: A Crash Course

The College Essay Guys",Virtual,Zoom,"Lyn Fairchild Hawks 
Coach and Trainer",-,-,-,-,,,,,,,,,,,,
,20.0,Telling your Brand Story Better - Substance Deserves Style,Virtual,Zoom,"Mitul Shah
Founder & CCO and unofficial Tea-Bay of Calculated Chaos",-,-,-,"Devesh Lathi
Founder , Futurowise",,,,,,,,,,,,
,22.0,"UniAccess Live: Meet Xavier University, Cincinnati, USA",Virtual,Zoom,"Sandeep Bhalla 
Regional Manager - South Asia, Xavier University Cincinnati USA",-,-,-,-,,,,,,,,,,,,
,23.0,UniAccess Live: Meet ATLAS Skilltech University,Virtual,Zoom,"Farheen Memon
Associate Director Outreach- IEC's and Consultants, ATLAS Skilltech University",-,-,-,-,,,,,,,,,,,,
,28.0,In-Focus,Virtual,Zoom,"Makarand Rajadhyaksha 
CEO, Aarambh Business & Technology Ventures Pvt.Ltd(Innovique Interns Division)","Yavya Jain
Co-Founder, Artiste 360- The Art School",-,-,-,,,,,,,,,,,,
,29.0,Decoding the Ever-Expanding Cast: Understanding the Characters Reshaping Education,Virtual,Zoom,"Bhakti Shah
Founder, The Outreach Collective","Amrita Ghulati
Director-School Engagement & Partnership,Acumen(Part of Sannam S4 Group) ",-,-,-,,,,,,,,,,,,
,JUNE,,,,,,,,,,,,,,,,,,,,
,DATE,AGENDA,MODE,LOCATION,SPEAKER 1,SPEAKER 2,SPEAKER 3,SPEAKER 4,MODERATOR,,,,,,,,,,,,
,3.0,"Dual Enrollment as a Pathway: Academic, Strategic, and Global Perspectives for Counsellors",Virtual,Zoom,"Dr Justin Osborn
Director, Advanced College Credit Program (ACCP)","Vicky Shillington
High School Student Counsellor, Ready Academy High School ","Stephe Fu
International Admissions Counsellor, Ohio State University","Michelle Prince Fetes
Associate Director, International Admissions, Syracuse University","Niharika Sondhi
Founder & Director, EdNet Consultants and EdNet School of Art & Design",,,,,,,,,,,,
